host_name	match	taxid	group	n.genomes	correction	corrected.taxid	reassigned
	NA	NA	CORRECTION	281796	NA	NA	TRUE
" tomato, solanum lycopersicum"	NA	NA	NA	2	NA	NA	NA
"""ipomoea aquatic"""	NA	NA	NA	1	NA	NA	NA
"bryde’s whale (balaenoptera edeni) "	NA	NA	NA	1	NA	NA	NA
"buffalo "	NA	NA	NA	1	NA	NA	NA
"cat "	NA	NA	NA	1	NA	NA	NA
"finger millet, eleusine coracana "	NA	NA	NA	1	NA	NA	NA
"pig, sus scrofa "	NA	NA	NA	10	NA	NA	NA
"silver king pigeon, columba livia "	NA	NA	NA	1	NA	NA	NA
''penicillium bilaiae	penicillium bilaiae	69765	CONFIDENT	1	NA	NA	NA
1758)	NA	NA	CORRECTION	13	NA	NA	TRUE
2-week old broiler chicken infected with salmonella enterica serovar heidelberg biosample: samn12082795; sample name: sh-2813-parental 2; sra: srs4982872	gallus gallus domesticus	9031	CONFIDENT	1	NA	NA	NA
abalone	abalone	6453	EXACT	6	NA	NA	NA
abalone, haliotis	haliotis	6452	CONFIDENT	3	NA	NA	NA
abalone, haliotis discus hannai	haliotis discus hannai	42344	CONFIDENT	2	NA	NA	NA
abelmoschus esculentus	abelmoschus esculentus	455045	EXACT	4	NA	NA	NA
abutilon indicum	abutilon indicum	318060	EXACT	2	NA	NA	NA
abutilon palmeri	abutilon palmeri	2042351	EXACT	7	NA	NA	NA
abyssinian ground hornbill	bucorvus abyssinicus	153643	CONFIDENT	1	NA	NA	NA
abyssogena phaseoliformis	abyssogena phaseoliformis	1871145	EXACT	1	NA	NA	NA
abyssogena southwardae	abyssogena southwardae	1181306	EXACT	1	NA	NA	NA
acacia	acacia	3808	EXACT	3	NA	NA	NA
acacia acuminata	acacia acuminata	178749	EXACT	5	NA	NA	NA
acacia farnesiana	acacia farnesiana	72368	EXACT	4	NA	NA	NA
acacia gummifera	acacia gummifera	1094598	EXACT	1	NA	NA	NA
acacia mangium	acacia mangium	224085	EXACT	1	NA	NA	NA
acacia raddiana	acacia raddiana	1095369	EXACT	1	NA	NA	NA
acacia senegal	acacia senegal	138043	EXACT	3	NA	NA	NA
acacia seyal	acacia seyal	138044	EXACT	4	NA	NA	NA
acaciella	acaciella	468125	EXACT	1	NA	NA	NA
acaciella angustissima	acaciella angustissima	468212	EXACT	1	NA	NA	NA
acanthamoeba	acanthamoeba	5754	EXACT	2	NA	NA	NA
acanthamoeba polyphaga	acanthamoeba polyphaga	5757	EXACT	2	NA	NA	NA
acanthamoeba polyphaga hn-3	acanthamoeba polyphaga	5757	CONFIDENT	6	NA	NA	NA
acanthamoeba sp.	acanthamoeba sp.	5756	EXACT	3	NA	NA	NA
acanthamoeba sp. acf125	acanthamoeba acf125	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. acf65	acanthamoeba acf65	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. acf82	acanthamoeba acf82	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. acf95	acanthamoeba acf95	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. atcc pra2	acanthamoeba atcc pra2	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. ste3	acanthamoeba ste3	5754	CONFIDENT	1	NA	NA	NA
acanthamoeba sp. uwet39	acanthamoeba sp. uwet39	332199	EXACT	2	NA	NA	NA
acanthamoebae castellanii; other acanthamoebae sp.	acanthamoeba castellanii	5755	CONFIDENT	1	NA	NA	NA
acanthaphora specifera	Acanthophora specifera	NA	CORRECTION	1	Acanthophora specifera	NA	TRUE
acanthaster planci	acanthaster planci	133434	EXACT	1	NA	NA	NA
acanthella acuta	acanthella acuta	85783	EXACT	1	NA	NA	NA
acanthospermum hispidum	acanthospermum hispidum	182999	EXACT	1	NA	NA	NA
acanthurus sohal	acanthurus sohal	1484167	EXACT	3	NA	NA	NA
acanthus ilicifolius	acanthus ilicifolius	328098	EXACT	2	NA	NA	NA
acartia tonsa	acartia tonsa	136180	EXACT	2	NA	NA	NA
accipiter gentilis	accipiter gentilis	8957	EXACT	7	NA	NA	NA
accipitridae	accipitridae	56259	EXACT	2	NA	NA	NA
acer buergerianum	acer buergerianum	57649	EXACT	3	NA	NA	NA
acer pseudoplatanus	acer pseudoplatanus	4026	EXACT	2	NA	NA	NA
acer sp.	acer sp.	2942657	EXACT	2	NA	NA	NA
acetobacteraceae	acetobacteraceae	433	EXACT	1	NA	NA	NA
acheta domesticus	acheta domesticus	6997	EXACT	1	NA	NA	NA
achillea ptarmica	achillea ptarmica	133233	EXACT	3	NA	NA	NA
achillia millefolium	achillea millefolium	13329	CONFIDENT	1	NA	NA	NA
acidulobus	Acidulobus aceticus	NA	CORRECTION	2	Acidulobus aceticus	NA	TRUE
acinonyx jubatus	acinonyx jubatus	32536	EXACT	1	NA	NA	NA
acorn squash	acorn squash	300795	EXACT	2	NA	NA	NA
acorus calamus	acorus calamus	4465	EXACT	1	NA	NA	NA
acromis sparsa	acromis sparsa	111205	EXACT	1	NA	NA	NA
acromyrmex echinatior	acromyrmex echinatior	103372	EXACT	13	NA	NA	NA
acromyrmex octospinosus	acromyrmex octospinosus	64783	EXACT	2	NA	NA	NA
acromyrmex sp.	acromyrmex sp.	3025844	EXACT	1	NA	NA	NA
acropora cervicornis	acropora cervicornis	6130	EXACT	14	NA	NA	NA
acropora cytherea	acropora cytherea	46686	EXACT	1	NA	NA	NA
acropora cytherea (hexacoral)	acropora cytherea	46686	CONFIDENT	14	NA	NA	NA
acropora digitifera	acropora digitifera	70779	EXACT	1	NA	NA	NA
acropora hemprichii (hexacoral)	acropora hemprichii	213635	CONFIDENT	7	NA	NA	NA
acropora humilis (hexacoral)	acropora humilis	46687	CONFIDENT	6	NA	NA	NA
acropora palmata	acropora palmata	6131	EXACT	1	NA	NA	NA
acropora prolifera	acropora prolifera	127871	EXACT	4	NA	NA	NA
acropora sp.	acropora sp.	3040784	EXACT	2	NA	NA	NA
acropora tenuis	acropora tenuis	70783	EXACT	1	NA	NA	NA
acroptilon repens	acroptilon repens	41466	EXACT	1	NA	NA	NA
acrosiphonia sonderi	acrosiphonia sonderi	932719	EXACT	1	NA	NA	NA
acrosternum arabicum	acrosternum arabicum	2066505	EXACT	1	NA	NA	NA
actinidia	actinidia	3624	EXACT	46	NA	NA	NA
actinidia arguta	actinidia arguta	64478	EXACT	1	NA	NA	NA
actinidia chinensis	actinidia chinensis	3625	EXACT	48	NA	NA	NA
actinidia chinensis cv. hort16a	actinidia chinensis	3625	CONFIDENT	1	NA	NA	NA
actinidia chinensis var. chinensis	actinidia chinensis var. chinensis	1590841	EXACT	8	NA	NA	NA
actinidia chinensis var. chinensis 'hongyang'	actinidia chinensis	3625	CONFIDENT	11	NA	NA	NA
actinidia chinensis var. chinensis 'hort16a'	actinidia chinensis	3625	CONFIDENT	1	NA	NA	NA
actinidia chinensis var. chinensis 'jinyan'	actinidia chinensis	3625	CONFIDENT	1	NA	NA	NA
actinidia chinensis var. deliciosa	actinidia chinensis var. deliciosa	3627	EXACT	1	NA	NA	NA
actinidia chinensis var. deliciosa 'hayward'	actinidia deliciosa	3627	CONFIDENT	2	NA	NA	NA
actinidia deliciosa 'hayward'	actinidia deliciosa	3627	CONFIDENT	2	NA	NA	NA
actinidia deliciosa cv hayward	actinidia deliciosa	3627	CONFIDENT	2	NA	NA	NA
actinidia deliciosa cv. erica	actinidia deliciosa	3627	CONFIDENT	4	NA	NA	NA
actinidia deliciosa cv. hayward	actinidia deliciosa	3627	CONFIDENT	4	NA	NA	NA
actinidia deliciosa cv. qinmei	actinidia deliciosa	3627	CONFIDENT	1	NA	NA	NA
actinidia sp.	actinidia	3624	CONFIDENT	19	NA	NA	NA
actinobacteria	actinobacteria	201174	EXACT	2	NA	NA	NA
actinoplanes sp.	actinoplanes sp.	1871	EXACT	1	NA	NA	NA
acyrthosiphon kondoi	acyrthosiphon kondoi	34664	EXACT	2	NA	NA	NA
acyrthosiphon lactucae	acyrthosiphon lactucae	527514	EXACT	1	NA	NA	NA
acyrthosiphon pisum	acyrthosiphon pisum	7029	EXACT	16	NA	NA	NA
adelges cooleyi	adelges cooleyi	133065	EXACT	4	NA	NA	NA
adelges cooleyi on picea engelmanii	adelges cooleyi	133065	CONFIDENT	4	NA	NA	NA
adelges lariciatus	adelges lariciatus	419079	EXACT	8	NA	NA	NA
adelges tsugae	adelges tsugae	357502	EXACT	1	NA	NA	NA
adelie penguin, pygoscelis adeliae	pygoscelis adeliae	9238	CONFIDENT	1	NA	NA	NA
adenocystis utricularis	adenocystis utricularis	64923	EXACT	1	NA	NA	NA
adenophora trachelioides maxim.	adenophora trachelioides	226227	CONFIDENT	1	NA	NA	NA
aedes aegypti	aedes aegypti	7159	EXACT	11	NA	NA	NA
aedes aegypti (rockefeller strain)	aedes aegypti	7159	CONFIDENT	1	NA	NA	NA
aedes albopictus	aedes albopictus	7160	EXACT	8	NA	NA	NA
aedes cinereus	aedes cinereus	120872	EXACT	1	NA	NA	NA
aegiceras corniculatum	aegiceras corniculatum	59970	EXACT	4	NA	NA	NA
aegopodium sp.	aegopodiump	None	CONFIDENT	1	NA	NA	NA
aegypius monachus	aegypius monachus	8959	EXACT	2	NA	NA	NA
aeluropus littoralis	aeluropus littoralis	110874	EXACT	1	NA	NA	NA
aepyceros melampus	aepyceros melampus	9897	EXACT	2	NA	NA	NA
aeschynomene	aeschynomene	48134	EXACT	1	NA	NA	NA
aeschynomene americana	aeschynomene americana	134032	EXACT	2	NA	NA	NA
aeschynomene fluminensis	aeschynomene fluminensis	561486	EXACT	1	NA	NA	NA
aeschynomene indica	aeschynomene indica	48135	EXACT	4	NA	NA	NA
aesculus hippocastanum	aesculus hippocastanum	43364	EXACT	1	NA	NA	NA
aesculus indica	aesculus indica	531823	EXACT	1	NA	NA	NA
aextoxicon punctatum	aextoxicon punctatum	39268	EXACT	1	NA	NA	NA
african bull frog, pyxicephalus edulis	pyxicephalus edulis	333692	CONFIDENT	1	NA	NA	NA
african bullet cockroach	Euryapteryx africana	NA	CORRECTION	1	Euryapteryx africana	NA	TRUE
african bush elephant	african bush elephant	9785	EXACT	2	NA	NA	NA
african fat-tailed gecko	african fat-tailed gecko	96741	EXACT	1	NA	NA	NA
african ground squirrel	xerus inauris	234690	CONFIDENT	1	NA	NA	NA
african marigold, tagetes erecta	tagetes erecta	13708	CONFIDENT	1	NA	NA	NA
african spoonbiil	platalea alba	33578	CONFIDENT	3	NA	NA	NA
african violet, saintpaulia	saintpaulia ionantha	85262	CONFIDENT	1	NA	NA	NA
agama (lizzard)	agamidae	81953	CONFIDENT	1	NA	NA	NA
agapostemon sp.	agapostemon	88590	CONFIDENT	5	NA	NA	NA
agaricus bisporus	agaricus bisporus	5341	EXACT	96	NA	NA	NA
agave americana l.	agave americana	39510	CONFIDENT	5	NA	NA	NA
agave salmiana	agave salmiana	332343	EXACT	1	NA	NA	NA
agave sisalana	agave sisalana	442491	EXACT	1	NA	NA	NA
agelas tubulata	agelas tubulata	333315	EXACT	1	NA	NA	NA
aggregatibacter actinomycetemcomitans d11s-1	aggregatibacter actinomycetemcomitans d11s-1	668336	EXACT	1	NA	NA	NA
agile gibbon	agile gibbon	9579	EXACT	12	NA	NA	NA
aglaonema	aglaonema	174181	EXACT	2	NA	NA	NA
agricultural soil	environmental samples	3105880	CONFIDENT	2	NA	NA	NA
agrionemys horsfieldii	agrionemys horsfieldii	101699	EXACT	1	NA	NA	NA
agriotes	agriotes	292457	EXACT	2	NA	NA	NA
agroiconota sp.	NA	NA	CORRECTION	1	NA	NA	TRUE
agrostis capillaris	agrostis capillaris	204232	EXACT	5	NA	NA	NA
agrostis sp.	agrostis	15297	CONFIDENT	4	NA	NA	NA
agrostis stolonifera	agrostis stolonifera	63632	EXACT	17	NA	NA	NA
agrypnus murinus	agrypnus murinus	195168	EXACT	1	NA	NA	NA
ailuropoda melanoleuca	ailuropoda melanoleuca	9646	EXACT	5	NA	NA	NA
ailurus fulgens	ailurus fulgens	9649	EXACT	1	NA	NA	NA
aiptasia pulchella	aiptasia pulchella	2652724	EXACT	1	NA	NA	NA
air	na	32224	CONFIDENT	5	NA	NA	NA
alangium sp.	alangium	16896	CONFIDENT	1	NA	NA	NA
albacore, thunnus alalunga	thunnus alalunga	8235	CONFIDENT	9	NA	NA	NA
alcedo atthis	alcedo atthis	36245	EXACT	1	NA	NA	NA
alces alces	alces alces	9852	EXACT	7	NA	NA	NA
aldabrachelys gigantea	aldabrachelys gigantea	167804	EXACT	1	NA	NA	NA
alder	alnus	3515	CONFIDENT	9	NA	NA	NA
aleeta curvicosta	aleeta curvicosta	1218668	EXACT	1	NA	NA	NA
aleurodicus dispersus	aleurodicus dispersus	267823	EXACT	1	NA	NA	NA
aleurodicus floccissimus	aleurodicus floccissimus	1560620	EXACT	1	NA	NA	NA
alexandium catenella	alexandrium catenella	2925	CONFIDENT	1	NA	NA	NA
alexandrium catenella	alexandrium catenella	2925	EXACT	2	NA	NA	NA
alexandrium lusitanicum (non-axenic dinoflagellate)	alexandrium lusitanicum	2938	CONFIDENT	1	NA	NA	NA
alexandrium minutum	alexandrium minutum	39455	EXACT	12	NA	NA	NA
alexandrium minutum (dinoflagellate)	alexandrium minutum	39455	CONFIDENT	3	NA	NA	NA
alexandrium ostenfeldii (non-axenic dinoflagellate)	alexandrium ostenfeldii	40986	CONFIDENT	1	NA	NA	NA
alexandrium tamiyavanichii acms01	alexandrium tamiyavanichii	201731	CONFIDENT	2	NA	NA	NA
alfalfa	alfalfa	3879	EXACT	6	NA	NA	NA
alfalfa rhizosphere	NA	NA	CORRECTION	1	NA	NA	TRUE
alfalfa, medicago sativa	medicago sativa	3879	CONFIDENT	188	NA	NA	NA
algae	algae	569578	EXACT	24	NA	NA	NA
algerian mouse, mus spretus	musretus	10096	CONFIDENT	2	NA	NA	NA
alhagi sparsifolia	alhagi sparsifolia	218100	EXACT	6	NA	NA	NA
alhagi sparsifolia shap.	alhagiarsifolia	47036	CONFIDENT	7	NA	NA	NA
alkali-saline soil	NA	NA	CORRECTION	2	NA	NA	TRUE
allacta australiensis	allacta australiensis	2093427	EXACT	1	NA	NA	NA
allacta bimaculata	allacta bimaculata	2093428	EXACT	1	NA	NA	NA
allactaga major	allactaga major	233182	EXACT	1	NA	NA	NA
allamanda cathartica	allamanda cathartica	52818	EXACT	1	NA	NA	NA
alle alle	alle alle	28691	EXACT	1	NA	NA	NA
alle alle (dovekie)	alle alle	28691	CONFIDENT	1	NA	NA	NA
alliaria petiolata	alliaria petiolata	126270	EXACT	5	NA	NA	NA
alligator	alligator	8495	EXACT	1	NA	NA	NA
alligator mississippiensis	alligator mississippiensis	8496	EXACT	2	NA	NA	NA
alligator, alligator mississippiensi	alligator mississippiensis	8496	CONFIDENT	1	NA	NA	NA
allium aflatunense	allium aflatunense	70752	EXACT	1	NA	NA	NA
allium ampeloprasum	allium ampeloprasum	4681	EXACT	4	NA	NA	NA
allium cepa	allium cepa	4679	EXACT	78	NA	NA	NA
allium cepa (onion)	allium cepa	4679	CONFIDENT	1	NA	NA	NA
allium cepa l.	taxonomy: onion (allium cepa)	4678	CONFIDENT	1	NA	NA	NA
allium fistulosum	allium fistulosum	35875	EXACT	3	NA	NA	NA
allium fistulosum l.	allium fistulosum	35875	CONFIDENT	1	NA	NA	NA
allium porrum	Allium ampeloprasum	4681	CORRECTION	2	Allium ampeloprasum	4681	TRUE
allium sativum	allium sativum	4682	EXACT	1	NA	NA	NA
allium sativum var. 'purple stripe'	allium sativum	4682	CONFIDENT	1	NA	NA	NA
allium triquetrum	allium triquetrum	74902	EXACT	2	NA	NA	NA
allium tuberosum rottlerex spreng.	allium rotundum	1174972	CONFIDENT	1	NA	NA	NA
allium victorialis var. platyphyllum	allium victorialis var. platyphyllum	93498	EXACT	1	NA	NA	NA
allocasuarina verticillata	allocasuarina verticillata	29736	EXACT	1	NA	NA	NA
almond, prunus dulcis	prunus dulcis	3755	CONFIDENT	5	NA	NA	NA
alnus	alnus	3515	EXACT	1	NA	NA	NA
alnus alnobetula	alnus alnobetula	38784	EXACT	1	NA	NA	NA
alnus glutinosa	alnus glutinosa	3517	EXACT	5	NA	NA	NA
alnus incana	alnus incana	3516	EXACT	40	NA	NA	NA
alnus nepalensis	alnus nepalensis	109066	EXACT	1	NA	NA	NA
alnus rubra	alnus rubra	109069	EXACT	5	NA	NA	NA
alnus viridis	alnus viridis	38784	EXACT	1	NA	NA	NA
alnus viridis ssp. crispa	alnus viridis subsp crispa	38784	CONFIDENT	1	NA	NA	NA
aloe vera (l.) brum.f.	aloe barbadensis	34199	CONFIDENT	1	NA	NA	NA
alopias vulpinus	alopias vulpinus	7852	EXACT	6	NA	NA	NA
alopochen aegyptiaca	alopochen aegyptiaca	30382	EXACT	2	NA	NA	NA
alorena table olives	olea europaea	4146	CONFIDENT	1	NA	NA	NA
alouatta palliata	alouatta palliata	30589	EXACT	3	NA	NA	NA
alpaca	alpaca	30538	EXACT	6	NA	NA	NA
alpine ibex	alpine ibex	72542	EXACT	2	NA	NA	NA
alpine ibex, capra ibex	capra ibex	72542	CONFIDENT	2	NA	NA	NA
alpinia purpurata	alpinia purpurata	230707	EXACT	3	NA	NA	NA
alstonia scholaris	alstonia scholaris	52822	EXACT	1	NA	NA	NA
alvinella pompejan	alvinella pompejana	6376	CONFIDENT	1	NA	NA	NA
alviniconcha boucheti	alviniconcha boucheti	1491183	EXACT	3	NA	NA	NA
alviniconcha marisindica	alviniconcha marisindica	1491186	EXACT	92	NA	NA	NA
alvinocaris longirostris	alvinocaris longirostris	337181	EXACT	1	NA	NA	NA
alyssum serpyllifolium ssp. lusitanicum	alyssum serpyllifolium subsp lusitanicum	226043	CONFIDENT	1	NA	NA	NA
amaranthus sp.	amaranthus sp.	3076757	EXACT	1	NA	NA	NA
amaranthus viridis	amaranthus viridis	56196	EXACT	1	NA	NA	NA
amaru indians	NA	NA	CORRECTION	9	NA	NA	TRUE
amaryllis belladonna	amaryllis belladonna	51432	EXACT	1	NA	NA	NA
amazona sp.	amazona sp.	1661781	EXACT	1	NA	NA	NA
amazonina sp.	amazonina sp.	3037048	EXACT	1	NA	NA	NA
amberjack, seriola sp.	seriolap		NONMATCHING	2	NA	NA	NA
amblyomma americanum	amblyomma americanum	6943	EXACT	2	NA	NA	NA
amblyomma cajennense	amblyomma cajennense	34607	EXACT	4	NA	NA	NA
amblyomma dissimile	amblyomma dissimile	251381	EXACT	1	NA	NA	NA
amblyomma hebraeum	amblyomma hebraeum	34608	EXACT	2	NA	NA	NA
amblyomma longirostre	amblyomma longirostre	251386	EXACT	1	NA	NA	NA
amblyomma maculatum	amblyomma maculatum	34609	EXACT	1	NA	NA	NA
amblyomma neumanni	amblyomma neumanni	251388	EXACT	6	NA	NA	NA
amblyomma nuttalli	amblyomma nuttalli	2749712	EXACT	1	NA	NA	NA
amblyomma ovale	amblyomma ovale	208206	EXACT	1	NA	NA	NA
amblyomma sculptum	amblyomma sculptum	1581419	EXACT	1	NA	NA	NA
amblyomma testudinarium	amblyomma testudinarium	375577	EXACT	1	NA	NA	NA
amblyomma triguttatum triguttatum	amblyomma triguttatum triguttatum	65638	EXACT	1	NA	NA	NA
amblyomma variegatum (cattle tick)	amblyomma variegatum	34610	CONFIDENT	1	NA	NA	NA
amblypharyngodon mola	amblypharyngodon mola	857615	EXACT	1	NA	NA	NA
ambrosia artenisiifolia	ambrosia artemisiifolia	4212	CONFIDENT	1	NA	NA	NA
ambrosia beetle, xyleborinus saxeseni	xyleborinus saxesenii	1230758	CONFIDENT	1	NA	NA	NA
ambystoma andersoni	ambystoma andersoni	282260	EXACT	1	NA	NA	NA
american bison, bison bison	bison bison	9901	CONFIDENT	50	NA	NA	NA
american cockroach	american cockroach	6978	EXACT	1	NA	NA	NA
american crow	american crow	85066	EXACT	17	NA	NA	NA
american crow, corvus brachyrhynchos	corvus brachyrhynchos	85066	CONFIDENT	1	NA	NA	NA
american ginseng	panax quinquefolius	44588	CONFIDENT	1	NA	NA	NA
american red squirrel, tamiasciurus hudsonicus	tamias senex	123794	CONFIDENT	1	NA	NA	NA
amitermes evuncifer	amitermes evuncifer	201535	EXACT	6	NA	NA	NA
ammophila breviligulata	ammophila breviligulata	286491	EXACT	1	NA	NA	NA
ammotragus lervia	ammotragus lervia	9899	EXACT	3	NA	NA	NA
amoeba	amoeba	5774	EXACT	2	NA	NA	NA
amoeba proteus	amoeba proteus	5775	EXACT	1	NA	NA	NA
amorphophallus konjac	amorphophallus konjac	78372	EXACT	7	NA	NA	NA
amphalius runatus	amphalius runatus	507006	EXACT	1	NA	NA	NA
amphibian : african clawed toad	xenopus laevis	8355	CONFIDENT	1	NA	NA	NA
amphidinium carterae	amphidinium carterae	2961	EXACT	1	NA	NA	NA
amphimedon queenslandica	amphimedon queenslandica	400682	EXACT	6	NA	NA	NA
amphipod	malacostraca	6681	CONFIDENT	2	NA	NA	NA
amphipterygium adstringens	amphipterygium adstringens	124857	EXACT	1	NA	NA	NA
anabas testudineus	anabas testudineus	64144	EXACT	1	NA	NA	NA
anabasis elatior	anabasis elatior	798176	EXACT	1	NA	NA	NA
anacardii occidendale	pseudocercospora anacardii		NONMATCHING	1	NA	NA	NA
anacardium occidentale	anacardium occidentale	171929	EXACT	2	NA	NA	NA
anallacta methanoides	anallacta methanoides	1661865	EXACT	1	NA	NA	NA
ananas comosus (l.) merr.	pineapple	4615	CONFIDENT	1	NA	NA	NA
anaplecta calosoma	anaplecta calosoma	1554546	EXACT	1	NA	NA	NA
anaplecta omei	anaplecta omei	2093429	EXACT	1	NA	NA	NA
anas crecca	anas crecca	75839	EXACT	1	NA	NA	NA
anas penelope	anas penelope	8838	EXACT	1	NA	NA	NA
anas platyrhynchos	anas platyrhynchos	8839	EXACT	13	NA	NA	NA
anas platyrhynchos (mallard duck)	anas platyrhynchos	8839	CONFIDENT	1	NA	NA	NA
anas platyrhynchos domesticus	anas platyrhynchos domesticus is a domesticated subspecies of the mallard (anas platyrhynchos) the best ncbi taxonomy entry for this would be anas platyrhynchos	8835	CONFIDENT	1	NA	NA	NA
anas strepera	anas strepera	75861	EXACT	3	NA	NA	NA
anastrepha ludens (wild) field collected strain	anastrepha ludens	28586	CONFIDENT	1	NA	NA	NA
anastrepha ludens black pupae (bp) genetic sexing strain guatemala-10 (aka family 10)	anastrepha ludens	28586	CONFIDENT	1	NA	NA	NA
anatidae	anatidae	8830	EXACT	1	NA	NA	NA
anatolian ground squirrel (spermophilus xanthoprymnus)	spermophilus xanthoprymnus	99869	CONFIDENT	3	NA	NA	NA
ancistrotermes cavithorax	ancistrotermes cavithorax	201536	EXACT	4	NA	NA	NA
andiperla willinki	plecoptera andiperla willinki	1266065	CONFIDENT	6	NA	NA	NA
andographis paniculata	andrographis paniculata	175694	CONFIDENT	1	NA	NA	NA
andrias davidianus (chinese giant salamander)	andrias davidi		NONMATCHING	3	NA	NA	NA
androsace koso-poljanskii	androsace koso-poljanskii	229444	EXACT	4	NA	NA	NA
androsace sp.	androsace	85163	CONFIDENT	1	NA	NA	NA
anemarrhena asphodeloides bunge	anemarrhena asphodeloides	59045	CONFIDENT	1	NA	NA	NA
angelica sinensis dlies	angelica sinensis dong	40948	CONFIDENT	1	NA	NA	NA
angomonas ambiguus	angomonas ambiguus	999947	EXACT	1	NA	NA	NA
angomonas deanei atcc 30255	angomonas deanei	59799	CONFIDENT	2	NA	NA	NA
angomonas desouzai	angomonas desouzai	59800	EXACT	1	NA	NA	NA
anguilla anguilla	anguilla anguilla	7936	EXACT	4	NA	NA	NA
anguilla japonica	anguilla japonica	7937	EXACT	3	NA	NA	NA
animal	metazoa	33208	CONFIDENT	96	NA	NA	NA
animals	animals	33208	EXACT	1	NA	NA	NA
anodonta arcaeformis	anodonta arcaeformis	265753	EXACT	3	NA	NA	NA
anodontia alba	anodontia alba	244458	EXACT	1	NA	NA	NA
anoecia oenotherae	Peronyia oenotherae	NA	CORRECTION	1	Peronyia oenotherae	NA	TRUE
anolis marmoratus speciosus	anolis marmoratuseciosus is a synonym for anolis pogus the best ncbi taxonomy entry is anolis pogus (taxid: 88954)	28376	CONFIDENT	1	NA	NA	NA
anomalocardia brasiliana	anomalocardia brasiliana	380096	EXACT	1	NA	NA	NA
anomalops katoptron	anomalops katoptron	181433	EXACT	2	NA	NA	NA
anopheles arabiensis	anopheles arabiensis	7173	EXACT	1	NA	NA	NA
anopheles coluzzii	anopheles coluzzii	1518534	EXACT	1	NA	NA	NA
anopheles demeilloni	anopheles demeilloni	1521113	EXACT	1	NA	NA	NA
anopheles minimus	anopheles minimus	112268	EXACT	2	NA	NA	NA
anopheles moucheti	anopheles moucheti	186751	EXACT	1	NA	NA	NA
anopheles sinensis	anopheles sinensis	74873	EXACT	11	NA	NA	NA
anopheles stephensi	anopheles stephensi	30069	EXACT	2	NA	NA	NA
anopheles stephensi (mosquito)	anopheles stephensi	30069	CONFIDENT	2	NA	NA	NA
anoplolepis gracilipes	anoplolepis gracilipes	354296	EXACT	1	NA	NA	NA
anser	anser	8842	EXACT	2	NA	NA	NA
anser albifrons	anser albifrons	50365	EXACT	4	NA	NA	NA
anser anser	anser anser	8843	EXACT	2	NA	NA	NA
anser caerulescens (lesser snow goose)	anser caerulescens	8849	CONFIDENT	1	NA	NA	NA
anser indicus	anser indicus	8846	EXACT	1	NA	NA	NA
anser sp.	anser sp.	8847	EXACT	2	NA	NA	NA
anserini	Anser anser	8843	CORRECTION	3	Anser anser	8843	TRUE
ant	formicidae	36668	CONFIDENT	11	NA	NA	NA
ant, acromyrmex octospinosus	acromyrmex octospinosus	64783	CONFIDENT	2	NA	NA	NA
ant, camponotus chromaiodes	camponotus chromaiodes	251251	CONFIDENT	1	NA	NA	NA
antarctic hair grass, deschampsia antarctica desv (poaceae)	deschampsia antarctica	159298	CONFIDENT	1	NA	NA	NA
antarctic ice algae	NA	NA	CORRECTION	1	NA	NA	TRUE
antarctic penguin	pygoscelis adeliae	9238	CONFIDENT	1	NA	NA	NA
antechinus bellus	antechinus bellus	71384	EXACT	1	NA	NA	NA
anthemis	anthemis	99027	EXACT	1	NA	NA	NA
antheraea pernyi	antheraea pernyi	7119	EXACT	1	NA	NA	NA
antho dichotoma	anthodichotomum		NONMATCHING	16	NA	NA	NA
anthochaera sp.	anthochaera is likely referring to the genus anthochaera, which consists of honeyeaters the best ncbi taxonomy entry would be:	None	CONFIDENT	1	NA	NA	NA
anthomyiidae spp	anthomyiidae	30062	CONFIDENT	1	NA	NA	NA
anthophora sp.	anthophora -> na	60896	CONFIDENT	3	NA	NA	NA
anthoza	anthozoa	6101	CONFIDENT	2	NA	NA	NA
anthropoides virgo	anthropoides virgo	9111	EXACT	6	NA	NA	NA
anthurium	anthurium	78377	EXACT	47	NA	NA	NA
anthurium andraeanum	anthurium andraeanum	226677	EXACT	3	NA	NA	NA
anthurium sp.	araceae env	None	CONFIDENT	1	NA	NA	NA
anthyllis vulneraria	anthyllis vulneraria	118891	EXACT	2	NA	NA	NA
anthyllis vulneraria subspecies carpatica	anthyllis vulneraria subsp carpatica	118891	CONFIDENT	1	NA	NA	NA
antidesma neurocarpum	antidesma neurocarpum	1504386	EXACT	1	NA	NA	NA
antidorcas marsupialis	antidorcas marsupialis	59523	EXACT	1	NA	NA	NA
antilocapra americana	antilocapra americana	9891	EXACT	4	NA	NA	NA
antilope	antilope	59524	EXACT	1	NA	NA	NA
antirrhinum majus	antirrhinum majus	4151	EXACT	4	NA	NA	NA
antirrhinum sp.	antirrhinum sp.	29720	EXACT	1	NA	NA	NA
antlion	myrmeleontidae	27427	CONFIDENT	1	NA	NA	NA
antrozous pallidus	antrozous pallidus	9440	EXACT	1	NA	NA	NA
